order_id,customer_id,product_id,product_name,category,price,quantity,order_date
85,35,104,Sneakers,Fashion,39.99,3,2024-12-12
86,50,108,LED Lamp,Home,22.75,2,2024-04-21
87,18,101,Wireless Mouse,Electronics,12.99,5,2024-05-03
88,31,106,Backpack,Fashion,29.95,2,2024-12-25
89,50,106,Backpack,Fashion,29.95,3,2024-12-02
90,47,102,Laptop Sleeve,Electronics,18.5,3,2024-01-27
91,25,103,Bluetooth Headphones,Electronics,45.9,2,2024-09-17
92,29,103,Bluetooth Headphones,Electronics,45.9,4,2024-09-16
93,30,103,Bluetooth Headphones,Electronics,45.9,5,2024-04-04
94,1,109,Notebook,Stationery,3.5,3,2024-03-08
95,28,107,Coffee Maker,Home,55.5,2,2024-10-03
96,39,103,Bluetooth Headphones,Electronics,45.9,5,2024-10-19
97,44,108,LED Lamp,Home,22.75,5,2024-01-27
98,34,102,Laptop Sleeve,Electronics,18.5,2,2024-10-19
99,5,106,Backpack,Fashion,29.95,3,2024-10-12
100,36,106,Backpack,Fashion,29.95,4,2024-10-25
101,33,105,T-Shirt,Fashion,15.0,4,2024-02-08
102,22,106,Backpack,Fashion,29.95,2,2024-10-18
103,1,101,Wireless Mouse,Electronics,12.99,3,2024-08-21
104,50,106,Backpack,Fashion,29.95,1,2024-07-26
105,30,104,Sneakers,Fashion,39.99,5,2024-12-11
106,49,103,Bluetooth Headphones,Electronics,45.9,3,2024-03-10
107,43,103,Bluetooth Headphones,Electronics,45.9,3,2024-03-27
108,12,110,Pen Set,Stationery,5.25,1,2024-09-02
109,44,108,LED Lamp,Home,22.75,5,2024-11-16
110,14,103,Bluetooth Headphones,Electronics,45.9,1,2024-06-22
111,2,107,Coffee Maker,Home,55.5,1,2024-04-21
112,7,104,Sneakers,Fashion,39.99,4,2024-11-13
113,42,109,Notebook,Stationery,3.5,2,2024-03-14
114,17,102,Laptop Sleeve,Electronics,18.5,2,2024-06-26
115,44,107,Coffee Maker,Home,55.5,4,2024-01-18
116,45,105,T-Shirt,Fashion,15.0,3,2024-05-29
117,27,105,T-Shirt,Fashion,15.0,2,2024-10-17
118,26,110,Pen Set,Stationery,5.25,5,2024-10-29
119,39,105,T-Shirt,Fashion,15.0,2,2024-10-28
120,31,102,Laptop Sleeve,Electronics,18.5,4,2024-05-02
121,47,105,T-Shirt,Fashion,15.0,3,2024-09-10
122,26,110,Pen Set,Stationery,5.25,5,2024-04-05
123,48,106,Backpack,Fashion,29.95,2,2024-12-28
124,32,103,Bluetooth Headphones,Electronics,45.9,2,2024-01-20
125,41,101,Wireless Mouse,Electronics,12.99,4,2024-04-21
126,49,107,Coffee Maker,Home,55.5,5,2024-09-29
127,50,101,Wireless Mouse,Electronics,12.99,2,2024-04-12
128,50,103,Bluetooth Headphones,Electronics,45.9,4,2024-02-04
129,28,105,T-Shirt,Fashion,15.0,1,2024-10-12
130,37,103,Bluetooth Headphones,Electronics,45.9,5,2024-09-29
131,41,104,Sneakers,Fashion,39.99,1,2024-05-09
132,7,101,Wireless Mouse,Electronics,12.99,2,2024-10-24
133,35,110,Pen Set,Stationery,5.25,3,2024-09-16
134,48,101,Wireless Mouse,Electronics,12.99,1,2024-09-05
135,48,104,Sneakers,Fashion,39.99,4,2024-11-08
136,10,109,Notebook,Stationery,3.5,4,2024-11-20
137,32,110,Pen Set,Stationery,5.25,1,2024-05-19
138,37,107,Coffee Maker,Home,55.5,2,2024-11-15
139,24,106,Backpack,Fashion,29.95,3,2024-08-23
140,8,105,T-Shirt,Fashion,15.0,1,2024-05-27
141,6,103,Bluetooth Headphones,Electronics,45.9,2,2024-11-07
142,10,105,T-Shirt,Fashion,15.0,5,2024-08-22
143,28,108,LED Lamp,Home,22.75,2,2024-03-02
144,36,110,Pen Set,Stationery,5.25,5,2024-06-17
145,23,110,Pen Set,Stationery,5.25,4,2024-03-19
146,6,105,T-Shirt,Fashion,15.0,4,2024-07-15
147,14,109,Notebook,Stationery,3.5,2,2024-01-27
148,12,103,Bluetooth Headphones,Electronics,45.9,4,2024-09-26
149,48,107,Coffee Maker,Home,55.5,2,2024-10-14
150,41,102,Laptop Sleeve,Electronics,18.5,4,2024-07-07
151,10,103,Bluetooth Headphones,Electronics,45.9,2,2024-01-22
152,20,106,Backpack,Fashion,29.95,5,2024-05-16
153,44,103,Bluetooth Headphones,Electronics,45.9,5,2024-12-01
154,14,102,Laptop Sleeve,Electronics,18.5,2,2024-05-11
155,41,105,T-Shirt,Fashion,15.0,4,2024-02-11
156,15,101,Wireless Mouse,Electronics,12.99,3,2024-07-22
157,23,106,Backpack,Fashion,29.95,4,2024-05-07
158,31,102,Laptop Sleeve,Electronics,18.5,4,2024-09-30
159,23,104,Sneakers,Fashion,39.99,3,2024-12-10
160,3,104,Sneakers,Fashion,39.99,4,2024-12-08
161,9,107,Coffee Maker,Home,55.5,5,2024-04-08
162,4,101,Wireless Mouse,Electronics,12.99,1,2024-04-05
163,21,110,Pen Set,Stationery,5.25,3,2024-10-23
164,6,107,Coffee Maker,Home,55.5,5,2024-08-17
165,34,106,Backpack,Fashion,29.95,3,2024-10-25
166,27,106,Backpack,Fashion,29.95,4,2024-09-30
167,47,109,Notebook,Stationery,3.5,4,2024-01-16
168,18,105,T-Shirt,Fashion,15.0,4,2024-07-22
169,25,106,Backpack,Fashion,29.95,1,2024-11-09
170,24,101,Wireless Mouse,Electronics,12.99,3,2024-04-20
171,39,104,Sneakers,Fashion,39.99,3,2024-07-13
172,8,109,Notebook,Stationery,3.5,2,2024-09-23
173,49,105,T-Shirt,Fashion,15.0,5,2024-07-26
174,40,105,T-Shirt,Fashion,15.0,5,2024-08-05
175,43,104,Sneakers,Fashion,39.99,2,2024-03-15
176,30,104,Sneakers,Fashion,39.99,1,2024-01-02
177,14,102,Laptop Sleeve,Electronics,18.5,3,2024-12-19
178,4,109,Notebook,Stationery,3.5,1,2024-07-06
179,28,104,Sneakers,Fashion,39.99,4,2024-09-19
180,50,102,Laptop Sleeve,Electronics,18.5,3,2024-01-23
181,32,109,Notebook,Stationery,3.5,1,2024-09-07
182,15,101,Wireless Mouse,Electronics,12.99,3,2024-04-20
183,35,108,LED Lamp,Home,22.75,2,2024-02-16
184,23,108,LED Lamp,Home,22.75,1,2024-03-07
185,4,110,Pen Set,Stationery,5.25,4,2024-04-08
186,11,107,Coffee Maker,Home,55.5,3,2024-03-16
187,43,102,Laptop Sleeve,Electronics,18.5,2,2024-10-03
188,26,107,Coffee Maker,Home,55.5,5,2024-07-24
189,42,104,Sneakers,Fashion,39.99,5,2024-11-22
190,30,107,Coffee Maker,Home,55.5,5,2024-08-15
191,50,110,Pen Set,Stationery,5.25,2,2024-09-07
192,36,110,Pen Set,Stationery,5.25,1,2024-11-05
193,5,105,T-Shirt,Fashion,15.0,1,2024-12-28
194,29,104,Sneakers,Fashion,39.99,1,2024-03-26
195,11,108,LED Lamp,Home,22.75,5,2024-04-27
196,5,109,Notebook,Stationery,3.5,3,2024-02-09
197,11,109,Notebook,Stationery,3.5,3,2024-01-14
198,30,109,Notebook,Stationery,3.5,1,2024-10-13
199,24,106,Backpack,Fashion,29.95,3,2024-11-04
200,8,107,Coffee Maker,Home,55.5,2,2024-09-16
201,41,105,T-Shirt,Fashion,15.0,1,2024-09-05
202,15,106,Backpack,Fashion,29.95,1,2024-05-05
203,19,102,Laptop Sleeve,Electronics,18.5,1,2024-08-12
204,36,106,Backpack,Fashion,29.95,1,2024-05-01
205,35,105,T-Shirt,Fashion,15.0,4,2024-09-26
206,35,108,LED Lamp,Home,22.75,1,2024-12-22
207,23,104,Sneakers,Fashion,39.99,5,2024-08-07
208,26,108,LED Lamp,Home,22.75,4,2024-12-19
209,28,107,Coffee Maker,Home,55.5,2,2024-11-23
210,22,110,Pen Set,Stationery,5.25,2,2024-12-30
211,48,108,LED Lamp,Home,22.75,4,2024-10-24
212,25,105,T-Shirt,Fashion,15.0,1,2024-12-20
213,48,109,Notebook,Stationery,3.5,2,2024-12-24
214,38,109,Notebook,Stationery,3.5,3,2024-05-10
215,12,101,Wireless Mouse,Electronics,12.99,1,2024-05-20
216,22,104,Sneakers,Fashion,39.99,2,2024-08-17
217,10,107,Coffee Maker,Home,55.5,3,2024-04-13
218,27,110,Pen Set,Stationery,5.25,1,2024-03-08
219,10,104,Sneakers,Fashion,39.99,1,2024-07-27
220,16,104,Sneakers,Fashion,39.99,1,2024-11-18
221,32,105,T-Shirt,Fashion,15.0,1,2024-12-30
222,3,107,Coffee Maker,Home,55.5,5,2024-03-28
223,8,101,Wireless Mouse,Electronics,12.99,5,2024-12-07
224,15,109,Notebook,Stationery,3.5,2,2024-09-15
225,24,105,T-Shirt,Fashion,15.0,1,2024-11-18
226,36,101,Wireless Mouse,Electronics,12.99,5,2024-06-01
227,40,102,Laptop Sleeve,Electronics,18.5,3,2024-08-25
228,16,108,LED Lamp,Home,22.75,5,2024-05-30
229,25,104,Sneakers,Fashion,39.99,3,2024-02-10
230,9,110,Pen Set,Stationery,5.25,2,2024-04-11
231,4,103,Bluetooth Headphones,Electronics,45.9,4,2024-12-05
232,29,106,Backpack,Fashion,29.95,3,2024-01-03
233,22,107,Coffee Maker,Home,55.5,2,2024-07-26
234,38,101,Wireless Mouse,Electronics,12.99,2,2024-12-03
235,24,110,Pen Set,Stationery,5.25,5,2024-09-23
236,11,106,Backpack,Fashion,29.95,4,2024-09-03
237,47,103,Bluetooth Headphones,Electronics,45.9,1,2024-09-07
238,12,101,Wireless Mouse,Electronics,12.99,1,2024-08-08
239,25,110,Pen Set,Stationery,5.25,2,2024-12-05
240,49,109,Notebook,Stationery,3.5,1,2024-11-17
241,3,105,T-Shirt,Fashion,15.0,1,2024-08-13
242,7,104,Sneakers,Fashion,39.99,5,2024-02-19
243,17,103,Bluetooth Headphones,Electronics,45.9,4,2024-02-04
244,6,101,Wireless Mouse,Electronics,12.99,1,2024-07-03
245,23,101,Wireless Mouse,Electronics,12.99,1,2024-03-30
246,19,108,LED Lamp,Home,22.75,4,2024-07-14
247,43,101,Wireless Mouse,Electronics,12.99,1,2024-05-16
248,31,101,Wireless Mouse,Electronics,12.99,1,2024-05-30
249,22,109,Notebook,Stationery,3.5,2,2024-11-16
250,13,110,Pen Set,Stationery,5.25,1,2024-08-29
251,36,107,Coffee Maker,Home,55.5,5,2024-01-12
252,49,106,Backpack,Fashion,29.95,1,2024-01-30
253,23,109,Notebook,Stationery,3.5,4,2024-12-31
254,25,108,LED Lamp,Home,22.75,4,2024-04-28
255,35,103,Bluetooth Headphones,Electronics,45.9,1,2024-06-22
256,37,106,Backpack,Fashion,29.95,4,2024-10-11
257,49,110,Pen Set,Stationery,5.25,4,2024-06-21
258,50,104,Sneakers,Fashion,39.99,5,2024-10-23
259,21,104,Sneakers,Fashion,39.99,4,2024-11-12
260,4,106,Backpack,Fashion,29.95,2,2024-08-10
261,49,106,Backpack,Fashion,29.95,4,2024-06-06
262,10,101,Wireless Mouse,Electronics,12.99,5,2024-11-12
263,48,106,Backpack,Fashion,29.95,5,2024-03-18
264,42,104,Sneakers,Fashion,39.99,5,2024-02-13
265,23,102,Laptop Sleeve,Electronics,18.5,2,2024-04-19
266,11,101,Wireless Mouse,Electronics,12.99,2,2024-07-03
267,12,106,Backpack,Fashion,29.95,5,2024-08-15
268,29,105,T-Shirt,Fashion,15.0,3,2024-04-24
269,30,103,Bluetooth Headphones,Electronics,45.9,5,2024-08-30
270,20,108,LED Lamp,Home,22.75,1,2024-12-12
271,40,103,Bluetooth Headphones,Electronics,45.9,3,2024-10-06
272,50,107,Coffee Maker,Home,55.5,3,2024-06-30
273,47,104,Sneakers,Fashion,39.99,4,2024-09-26
274,22,102,Laptop Sleeve,Electronics,18.5,2,2024-03-31
275,14,106,Backpack,Fashion,29.95,1,2024-07-07
276,28,106,Backpack,Fashion,29.95,2,2024-04-06
277,30,102,Laptop Sleeve,Electronics,18.5,1,2024-08-24
278,9,103,Bluetooth Headphones,Electronics,45.9,5,2024-11-12
279,24,101,Wireless Mouse,Electronics,12.99,2,2024-04-01
280,25,105,T-Shirt,Fashion,15.0,3,2024-02-25
281,19,105,T-Shirt,Fashion,15.0,3,2024-04-15
282,47,109,Notebook,Stationery,3.5,2,2024-07-16
283,42,107,Coffee Maker,Home,55.5,3,2024-11-08
284,36,107,Coffee Maker,Home,55.5,1,2024-09-08
285,4,109,Notebook,Stationery,3.5,4,2024-10-31
286,17,101,Wireless Mouse,Electronics,12.99,4,2024-07-13
287,29,110,Pen Set,Stationery,5.25,5,2024-09-26
288,16,104,Sneakers,Fashion,39.99,3,2024-09-21
289,19,105,T-Shirt,Fashion,15.0,4,2024-01-22
290,30,101,Wireless Mouse,Electronics,12.99,5,2024-07-21
291,24,110,Pen Set,Stationery,5.25,1,2024-04-29
292,37,108,LED Lamp,Home,22.75,3,2024-01-12
293,37,102,Laptop Sleeve,Electronics,18.5,4,2024-12-01
294,3,106,Backpack,Fashion,29.95,5,2024-01-14
295,27,106,Backpack,Fashion,29.95,2,2024-01-06
296,47,105,T-Shirt,Fashion,15.0,5,2024-03-28
297,5,105,T-Shirt,Fashion,15.0,3,2024-10-20
298,50,104,Sneakers,Fashion,39.99,4,2024-09-20
299,8,101,Wireless Mouse,Electronics,12.99,2,2024-08-22
300,40,105,T-Shirt,Fashion,15.0,3,2024-10-14
